a	какой-то
abacus	счёты
abandon	покинуть|покидать|забросить
abandoned	покинутый
abandonment	оставление|заброшенность
abase	унижать|унизить
abase oneself	унижаться
abasement	унижение
abate	затихнуть|спасть|успокаиваться
abatement	уступка|спад|уменьшение
abatis	засека
abattoir	бойня
abbess	настоятельница
abbey	монастырь|аббатство
abbot	настоятель|аббат
abbreviate	сократить|сокращать
abbreviated	сокращённый
abbreviation	аббревиатура|сокращение
abc	букварь|аз|азбука
abc-book	азбука
abdicate	отказаться|отказываться
abdomen	живот|брюшко
abdominal	брюшной
abdominal band	набрюшник
abduct	увезти|похитить|увозить
abduction	похищение|увоз|умыкание
abductor	похититель|похитительница
aberration	аберрация
abhor	ненавидеть
abhorrence	ненависть
abide	пребывать|обретаться
abies	пихта
ability	способность|умение
ability to work	трудоспособность
abkhazian	абхазский|абхазец|абхаз
ablate	удалять
ablation	удаление|вырезывание
ablaut	абляут
able	умелый|знающий
able to work	трудоспособный
able-bodied	трудоспособный
ablution	омовение
ably	талантливо
abnegation	самоотречение
abnormal	ненормальный|уродливый|аномальный
abnormality	уродство|ненормальность
aboard	борт
abode	жилище|обитель|обиталище
abolish	отменять|уничтожать
abolishment	уничтожение|упразднение
abolition	отмена|ликвидация|уничтожение
abolitionism	аболиционизм
abolitionist	аболиционист
abomasum	сычуг
abominable	отвратительный
abominably	отвратительно
aboriginal	абориген
aboriginals	автохтон
abortion	аборт|выкидыш
abortive	абортивный
abounding in	кочковатый
about	о|об|про
about it	здесь
above	над|выше|наверху
above all	главное
above-mentioned	оный|вышеупомянутый
above-named	вышеназванный
above-stated	вышеизложенный
above-water	надводный
abracadabra	абракадабра
abrade	тереть
abrasion	царапина|ссадина|абразия
abrasive	абразив|абразивный
abridgement	сокращение
abroad	граница|зарубежный|заграница
abrogate	отменять
abrogation	отмена|аннулирование
abrupt	крутой|отрывистый|обрывистый
abruptly	резко
abruptness	резкость|односложность
abscess	абсцесс|нарыв|гнойник
absciss	абсцисса
abscissa	абсцисса
absence	пропуск|отлучка|неимение
absence of control	безотчётность|бесконтрольность
absence of forests	безлесье
absence without leave	самоволка
absent oneself	отлучаться|отпроситься
absent-minded	рассеянный|машинальный
absent-mindedly	машинально
absent-mindedness	забывчивость
absentee	отсутствующий|прогульщик|прогульщица
absenteeism	абсентеизм|прогул
absentmindedly	рассеянно
absinth	полынь|абсент
absolute	абсолютный|совершенный|безусловный
absolute limit	потолок
absolute power	всевластие
absolute rule	единовластие|самовластие
absolutely	абсолютно|безусловно|положительно
absolution	прощение
absolutism	абсолютизм
absolutist	абсолютист|абсолютистский
absorb	поглотить|поглощать|впитывать
absorbability	поглощаемость
absorbed	углублённый
absorbent	поглотитель
absorber	поглотитель
